what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957781140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957792489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957794747
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957798639
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1372957802228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957817516
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1372957818940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957818966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957820818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957873312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957874300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957874572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957878867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957880172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372957881092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958043221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958045135
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958045471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958053981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958054392
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958055666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958056618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958056874
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958069974
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958070684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958135428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958136523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958139843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958140230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958513231
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372958517525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958523895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958542306
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372958605079
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372958605106
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1372958609966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1372958609969
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958613548
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958626643
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958630567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958658129
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958694758
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958695800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958696626
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1372958716114
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1372958717593
opened,editor,org.eclipse.jst.jsp.ui,1.1.601.v201108151912,"org.eclipse.jst.jsp.core.jspsource.source",1372958722538
